"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEPERK_STLTH_COLDBLOODED_DES","You remain absolutely calm in any situation. The sounds made by your character's mouth become quieter, allowing you to remain less visible to others.","You remain absolutely calm in any situation. The sounds made by your character's mouth become quieter, allowing you to remain less visible to others.","V každé situaci zachováte absolutní klid. Zvuky vydávané ústy vaší postavy jsou tišší,což vám umožní zůstat méně viditelní pro ostatní.","Sie bleiben in jeder Situation absolut ruhig. Die Geräusche, die durch den Mund deines Charakters erzeugt werden, werden leiser, sodass du für andere weniger sichtbar bleiben kannst.","Вы сохраняете спокойствие абсолютное в любой ситуации. Звуки, издаваемые ртом вашего персонажа, становятся тише, позволяя вам оставаться менее заметным для окружающих.","Zachowujesz spokój absolutny w każdej sytuacji. Dźwięki wydawane przez usta twojej postaci stają się cichsze, dzięki czemu możesz pozostać mniej widoczny dla otaczających cię osób.","Minden helyzetben teljesen nyugodt marad. A karaktered szája által készített hangok csendesebbé válnak, lehetővé téve, hogy mások számára kevésbé látható maradjon.","Mantieni la calma assoluta in ogni situazione. I suoni prodotti dalla bocca del tuo personaggio diventano più silenziosi, permettendoti di rimanere meno visibile a chi ti circonda.","Usted mantiene la calma absoluta en cualquier situación. Los sonidos producidos por la boca de tu personaje se vuelven más silenciosos, lo que te permite permanecer menos visible para quienes te rodean.","Vous gardez le calme absolu dans n'importe quelle situation. Les sons émis par la bouche de votre personnage deviennent plus silencieux, vous permettant de rester moins visible pour ceux qui vous entourent.","你在任何情况下都保持绝对的冷静。 你的角色的嘴发出的声音变得更安静，让你保持不太明显的其他人。","あなたはどんな状況でも絶対に落ち着いています。 キャラクターの口から発せられる音が静かになり、他の人には見えにくくなります。","Você mantém a calma absoluta em qualquer situação. Os sons produzidos pela boca do seu personagem ficam mais silenciosos, permitindo que você permaneça menos visível para os outros.","你在任何情况下都保持绝对的冷静。 你的角色的嘴发出的声音变得更安静，让你保持不太明显的其他人。",
"STR_TERJEPERK_STLTH_QUIETSHOOTER","Commandos","Commandos","Komandos","Kommando","Командос","Komandos","A Kommandósok","Commandos","Comandos","Commandos","突击队员","コマンドス","Comando","突击队员",
"STR_TERJEPERK_STLTH_QUIETSHOOTER_DES","Reloading and other manipulations with weapons create less noise, allowing you to remain stealthy even in stressful situations.","Reloading and other manipulations with weapons create less noise, allowing you to remain stealthy even in stressful situations.","Dobíjení a další manipulace se zbraněmi vytvářejí méně hluku, což vám umožní zůstat skrytý i ve vypjatých situacích.","Das Aufladen und andere Manipulationen an Waffen erzeugen weniger Lärm und ermöglichen es Ihnen, selbst in stressigen Situationen heimlich zu bleiben.","Перезарядка и другие манипуляции с оружием создают меньше шума, позволяя вам оставаться скрытным даже в напряжённых ситуациях.","Przeładowanie i inne manipulacje bronią generują mniej hałasu, pozwalając zachować tajemnicę nawet w napiętych sytuacjach.","A fegyverekkel történő újratöltés és egyéb manipulációk kevesebb zajt hoznak létre, ami lehetővé teszi, hogy stresszes helyzetekben is lopakodó maradjon.","La ricarica e altre manipolazioni delle armi creano meno rumore, permettendoti di rimanere furtivo anche in situazioni di tensione.","La recarga y otras manipulaciones de armas crean menos ruido, lo que le permite permanecer sigiloso incluso en situaciones estresantes.","Le rechargement et d'autres manipulations d'armes créent moins de bruit, vous permettant de rester furtif même dans des situations stressantes.","使用武器重新加载和其他操作会产生更少的噪音，使您即使在紧张的情况下也能保持隐身。","武器を使ったリロードやその他の操作により、ノイズが少なくなり、ストレスの多い状況でもステルス性を保つことができます。","Recarregar e outras manipulações de armas criam menos ruído, permitindo que você permaneça secreto, mesmo em situações estressantes.","使用武器重新加载和其他操作会产生更少的噪音，使您即使在紧张的情况下也能保持隐身。",
"STR_TERJEPERK_STLTH_FITTINGEQUIP","Fitted equipment","Fitted equipment","Přizpůsobené vybavení","Angepasste Ausrüstung","Подгонка снаряжения","Dopasowany sprzęt","Felszerelt berendezések","Attrezzatura adatta","Equipo ajustado","Équipement ajusté","安装设备","取り付けられた機器","Equipamento adaptado","安装设备",
"STR_TERJEPERK_STLTH_FITTINGEQUIP_DES","Your character's gear makes less noise when moving, which helps you avoid unnecessary attention and be more silent for other survivors.","Your character's gear makes less noise when moving, which helps you avoid unnecessary attention and be more silent for other survivors.","Vaše vybavení na postavě vydává při pohybu mnohem méně hluku, což vám pomůže vyhnout se nadměrné pozornosti a být tichější pro ostatní přeživší.","Deine Ausrüstung auf dem Charakter macht viel weniger Lärm, wenn du dich bewegst, was dir hilft, unnötige Aufmerksamkeit zu vermeiden und für andere Überlebende leiser zu sein.","Ваше снаряжение на персонаже издает гораздо меньше шума при движении, что помогает вам избегать лишнего внимания и быть более бесшумным для других выживших.","Twój sprzęt na postaci wydaje znacznie mniej hałasu podczas ruchu, co pomaga uniknąć nadmiernej uwagi i być cichszym dla innych ocalałych.","A karaktered felszerelése sokkal kevesebb zajt okoz mozgás közben, ami segít elkerülni a felesleges figyelmet és csendesebb a többi túlélő számára.","La tua attrezzatura sul personaggio fa molto meno rumore quando ti muovi, il che ti aiuta a evitare l'attenzione in eccesso e ad essere più silenzioso per gli altri sopravvissuti.","Tu equipo en el personaje hace mucho menos ruido cuando te mueves, lo que te ayuda a evitar el exceso de atención y ser más silencioso para otros sobrevivientes.","Votre équipement produit beaucoup moins de bruit lors de la conduite, ce qui vous aide à éviter l'attention excessive et à être plus silencieux pour les autres survivants.","你的角色的装备在移动时产生的噪音要小得多，这有助于你避免不必要的关注，并对其他幸存者更加沉默。","キャラクターのギアは移動時の騒音がはるかに少なく、不必要な注意を避け、他の生存者にとってより静かになるのに役立ちます。","Seu equipamento de personagem faz muito menos barulho quando você se move, o que ajuda você a evitar o excesso de atenção e ser mais silencioso para os outros sobreviventes.","你的角色的装备在移动时产生的噪音要小得多，这有助于你避免不必要的关注，并对其他幸存者更加沉默。",
"STR_TERJEPERK_STLTH_INVISIBLEMAN","Invisible Man","Invisible Man","Neviditelný","unsichtbares Wesen","Невидимка","Niewidzialna","A Láthatatlan Ember","Invisibile","Invisible","Furtif","隐形人","透明人間","Invisível","隐形人",
"STR_TERJEPERK_STLTH_INVISIBLEMAN_DES","The skill of staying in the shadows and avoiding loud actions makes you virtually invisible to the infected, allowing you to easily pass through dangerous territories. The risk of being found infected is reduced. ","The skill of staying in the shadows and avoiding loud actions makes you virtually invisible to the infected, allowing you to easily pass through dangerous territories. The risk of being found infected is reduced. ","Schopnost zůstat ve stínu a vyhnout se hlasitým akcím vás činí prakticky neviditelnými pro infikované, což vám umožní snadno minout nebezpečná území. Riziko, že se nakazí, se snižuje. ","Die Fähigkeit, im Schatten zu bleiben und laute Aktivitäten zu vermeiden, macht Sie für Infizierte praktisch unsichtbar, so dass Sie gefährliche Gebiete leicht passieren können. Das Risiko, von Infizierten entdeckt zu werden, nimmt ab. ","Мастерство оставаться в тени и избегать громких действий делает вас практически невидимым для зараженных, позволяя вам легко миновать опасные территории. Риск быть обнаруженным зараженными снижается. ","Umiejętność pozostawania w cieniu i unikania głośnych działań sprawia, że jesteś praktycznie niewidoczny dla zarażonych, co pozwala łatwo ominąć niebezpieczne Terytoria. Zmniejsza się ryzyko wykrycia infekcji. ","Az árnyékban való tartózkodás és a hangos cselekedetek elkerülése gyakorlatilag láthatatlanná teszi a fertőzötteket, lehetővé téve, hogy könnyen áthaladjon a veszélyes területeken. Csökken a fertőzés kockázata. ","La padronanza di rimanere nell'ombra ed evitare azioni rumorose ti rende praticamente invisibile agli infetti, permettendoti di passare facilmente Territori pericolosi. Il rischio di essere scoperti infetti è ridotto. ","La habilidad de permanecer en las sombras y evitar actividades ruidosas te hace prácticamente invisible para los infectados, lo que te permite pasar fácilmente por territorios peligrosos. El riesgo de ser detectado infectado se reduce. ","La maîtrise de rester dans l'ombre et d'éviter les activités bruyantes vous rend pratiquement invisible aux infectés, vous permettant de contourner facilement les territoires dangereux. Le risque d'être détecté infecté est réduit. ","留在阴影和避免大声行动的技巧使你几乎看不见被感染的人，让你轻松通过危险的领土。 被发现感染的风险降低。 ","影にとどまり、大きな行動を避けるスキルにより、感染者には事実上見えなくなり、危険な地域を簡単に通過できるようになります。 感染していることが判明するリスクが軽減されます。 ","A habilidade de permanecer nas sombras e evitar atividades barulhentas torna você praticamente invisível para os infectados, permitindo que você passe facilmente por áreas perigosas. O risco de ser detectado é reduzido. ","留在阴影和避免大声行动的技巧使你几乎看不见被感染的人，让你轻松通过危险的领土。 被发现感染的风险降低。 ",
"STR_TERJEPERK_STLTH_CATVISION","Cat's vision","Cat's vision","Kočičí zrak","Katzensicht","Кошачье зрение","Kocia wizja","Macska látása","Visione del gatto","Visión de gato","Vision féline","猫的愿景","猫のビジョン","Visão de gato","猫的愿景",
"STR_TERJEPERK_STLTH_CATVISION_DES","Your eyes adjust to the dark like a cat's. You can see better in low-light conditions, which allows you to navigate confidently in the dark.","Your eyes adjust to the dark like a cat's. You can see better in low-light conditions, which allows you to navigate confidently in the dark.","Vaše oči se přizpůsobí tmě jako kočka. Lépe vidíte ve slabých světelných podmínkách, což vám umožňuje sebevědomou navigaci ve tmě.","Deine Augen passen sich an die Dunkelheit an, genau wie eine Katze. Sie sehen bei schlechten Lichtverhältnissen besser, sodass Sie sich im Dunkeln sicher navigieren können.","Ваши глаза приспосабливаются к темноте, как у кошки. Вы лучше видите в условиях слабого освещения, что позволяет вам уверенно ориентироваться в темноте.","Twoje oczy dostosowują się do ciemności jak kot. Widzisz lepiej w warunkach słabego oświetlenia, co pozwala Ci pewnie poruszać się po ciemności.","A szemed úgy alkalmazkodik a sötéthez, mint egy macska. gyenge fényviszonyok között jobban láthat, ami lehetővé teszi, hogy magabiztosan navigáljon sötétben.","I tuoi occhi si adattano all'oscurità come un gatto. Vedi meglio in condizioni di scarsa illuminazione, permettendoti di navigare con sicurezza al buio.","Tus ojos se adaptan a la oscuridad como los de un gato. Se ve mejor en condiciones de poca luz, lo que le permite navegar con confianza en la oscuridad.","Vos yeux s'adaptent à l'obscurité comme un chat. Vous voyez mieux dans des conditions de faible luminosité, ce qui vous permet de naviguer en toute confiance dans l'obscurité.","你的眼睛像猫一样适应黑暗。在弱光条件下，你可以看得更清楚，这让你在黑暗中自信地导航。","あなたは暗闇の中で自信を持ってナビゲートすることができます低照度の条件でよりよく見ることができます。","Seus olhos se adaptam à escuridão, como os de um gato. Você vê melhor em condições de pouca luz, o que lhe permite navegar com confiança no escuro.","你的眼睛像猫一样适应黑暗。在弱光条件下，你可以看得更清楚，这让你在黑暗中自信地导航。",
"STR_TERJEPERK_STLTH_SILENTEXECUTIONER","The Silent Executioner","The Silent Executioner","Tichý kat","Der stille Henker","Бесшумный палач","Cichy Kat","A Csendes Hóhér","Boia silenziosa","El verdugo silencioso","Le bourreau silencieux","沉默的刽子手","沈黙の死刑執行人","Carrasco silencioso","沉默的刽子手",
"STR_TERJEPERK_STLTH_SILENTEXECUTIONER_DES","You get the opportunity to make quick and silent kills with a two-handed bladed weapon. Accurate and lightning-fast strikes allow you to eliminate enemies without making too much noise, without attracting the attention of others and ensuring safe movement in dangerous areas.","You get the opportunity to make quick and silent kills with a two-handed bladed weapon. Accurate and lightning-fast strikes allow you to eliminate enemies without making too much noise, without attracting the attention of others and ensuring safe movement in dangerous areas.","Získáte možnost provádět rychlé a tiché zabíjení pomocí obouručních chladných zbraní. Přesné a bleskové údery umožňují eliminovat nepřátele bez zbytečného hluku, aniž by upoutaly pozornost okolí a zajistily bezpečný pohyb v nebezpečných zónách.","Sie erhalten die Möglichkeit, schnelle und stille Tötungen mit zweihändigen kalten Waffen durchzuführen. Präzise und blitzschnelle Schläge ermöglichen es Ihnen, Feinde ohne unnötigen Lärm zu eliminieren, ohne die Aufmerksamkeit anderer zu erregen und eine sichere Bewegung in Gefahrenbereichen zu gewährleisten.","Вы получаете возможность совершать быстрые и бесшумные убийства с помощью двуручного холодного оружия. Точные и молниеносные удары позволяют устранять врагов без лишнего шума, не привлекая внимания окружающих и обеспечивая безопасное перемещение в опасных зонах.","Zyskujesz możliwość wykonywania szybkich i cichych zabójstw za pomocą dwuręcznej broni białej. Precyzyjne i błyskawiczne ciosy pozwalają eliminować wrogów bez zbędnego hałasu, nie przyciągając uwagi innych i zapewniając bezpieczne poruszanie się w niebezpiecznych obszarach.","Kapsz a lehetőséget, hogy a gyors és csendes öl egy kétkezes pengéjű fegyver. A pontos és villámgyors sztrájkok lehetővé teszik az ellenségek kiküszöbölését anélkül, hogy túl sok zajt okoznának, anélkül, hogy mások figyelmét felkeltenék, és biztonságos mozgást biztosítanának a veszélyes területeken.","Hai la possibilità di eseguire uccisioni rapide e silenziose con un'arma da mischia a due mani. I colpi precisi e fulminei ti consentono di eliminare i nemici senza troppi rumori, senza attirare l'attenzione degli altri e garantire un movimento sicuro in aree pericolose.","Tienes la oportunidad de realizar asesinatos rápidos y silenciosos con armas blancas a dos manos. Los ataques precisos y rápidos del rayo le permiten eliminar a los enemigos sin ruido innecesario, sin llamar la atención de los demás y garantizar un movimiento seguro en áreas peligrosas.","Vous avez la possibilité de faire des meurtres rapides et silencieux avec l'aide d'une arme blanche à deux mains. Des frappes précises et rapides vous permettent d'éliminer les ennemis sans bruit inutile, sans attirer l'attention des autres et de vous déplacer en toute sécurité dans des zones dangereuses.","你有机会用双手刃武器快速无声地杀死。 准确和闪电般快速的打击使您可以消除敌人而不会产生太多噪音，而不会引起他人的注意并确保在危险区域安全移动。","あなたは両手の刃の武器で迅速かつ静かなキルを作る機会を得る。 正確で超高速のストライキを使用すると、他の人の注意を引くことなく、危険な場所で安全な動きを確保することなく、あまりにも多くの音を立てることなく敵を排除することができます。","Você tem a oportunidade de cometer assassinatos rápidos e silenciosos com a ajuda de armas brancas de Duas Mãos. Ataques precisos e rápidos permitem eliminar inimigos sem ruído, sem atrair a atenção dos outros e garantindo movimento seguro em áreas perigosas.","你有机会用双手刃武器快速无声地杀死。 准确和闪电般快速的打击使您可以消除敌人而不会产生太多噪音，而不会引起他人的注意并确保在危险区域安全移动。",
"STR_TERJEPERK_STLTH_SILENTKILLER","Silent Killer","Silent Killer","Tichý zabiják","Stiller Mörder","Бесшумный убийца","Cichy zabójca","A Csendes Gyilkos","Assassino silenzioso","Asesino silencioso","Tueur silencieux","沉默的杀手","サイレントキラー","Assassino silencioso","沉默的杀手",
"STR_TERJEPERK_STLTH_SILENTKILLER_DES","Your knife handling skills are impeccable. You can make a quick and silent kill, neutralizing opponents with extreme precision and minimal noise.","Your knife handling skills are impeccable. You can make a quick and silent kill, neutralizing opponents with extreme precision and minimal noise.","Vaše dovednosti v zacházení s nožem jsou bezchybné. Rychlé a tiché zabíjení můžete provést neutralizací protivníků se zvláštní přesností a minimálním hlukem.","Ihr Umgang mit dem Messer ist einwandfrei. Sie können einen schnellen und leisen Mord durchführen, indem Sie Gegner mit äußerster Präzision und minimalem Rauschen neutralisieren.","Ваши навыки обращения с ножом безупречны. Вы можете совершить быстрое и бесшумное убийство, нейтрализуя противников с особой точностью и минимальным шумом.","Twoje umiejętności posługiwania się nożem są bezbłędne. Możesz wykonać szybkie i ciche zabijanie, neutralizując przeciwników ze szczególną precyzją i minimalnym hałasem.","A késkezelési képessége kifogástalan. Tudod, hogy egy gyors és csendes ölni, semlegesítő ellenfelek rendkívüli pontossággal és minimális zaj.","Le tue abilità con il coltello sono impeccabili. Puoi eseguire un'uccisione rapida e silenziosa, neutralizzando gli avversari con estrema precisione e rumore minimo.","Sus habilidades de manejo de cuchillos son impecables. Puede realizar una matanza rápida y silenciosa, neutralizando a los oponentes con una precisión extrema y un ruido mínimo.","Vos compétences de manipulation du couteau sont impeccables. Vous pouvez tuer rapidement et silencieusement en neutralisant vos adversaires avec une précision extrême et un minimum de bruit.","你的刀处理技巧是无可挑剔的. 你可以快速无声地杀死对手，以极高的精度和最小的噪音中和对手。","あなたのナイフの取り扱いスキルは非の打ちどころがありません。 あなたは極端な精度と最小限のノイズで相手を中和し、迅速かつ静かなキルを作ることができます。","Suas habilidades com facas são impecáveis. Você pode realizar um assassinato rápido e silencioso, neutralizando os inimigos com extrema precisão e ruído mínimo.","你的刀处理技巧是无可挑剔的. 你可以快速无声地杀死对手，以极高的精度和最小的噪音中和对手。",
"STR_TERJEPERK_STLTH_SHADOWTRACKER","Pathfinder","Pathfinder","Stopař","Pfadfinder","Следопыт","Tropiciel","A Pathfinder","Esploratore","Rastreador","Pisteur","探路者","パスファインダー","Explorador","探路者",
"STR_TERJEPERK_STLTH_SHADOWTRACKER_DES","You have reached the highest level of stealth. When moving without shoes, you don't create any sound at all, becoming a real ghost.","You have reached the highest level of stealth. When moving without shoes, you don't create any sound at all, becoming a real ghost.","Dosáhli jste nejvyšší úrovně utajení. Když se pohybujete bez bot, nevytvoříte vůbec žádný zvuk a stanete se skutečným duchem.","Sie haben die höchste Stealth-Stufe erreicht. Wenn Sie sich ohne Schuhe bewegen, erzeugen Sie überhaupt kein Geräusch und werden zu einem echten Geist.","Вы достигли высшего уровня скрытности. При передвижении без обуви вы вообще не создаёте никакого звука, становясь настоящим призраком.","Osiągnąłeś najwyższy poziom skradania się. Poruszając się bez butów, nie generujesz żadnego dźwięku, stając się prawdziwym duchem.","Elérte a lopakodás legmagasabb szintjét. Ha cipő nélkül mozog, egyáltalán nem hoz létre hangot, valódi szellemmé válik.","Hai raggiunto il massimo livello di furtività. Quando ti muovi senza scarpe, non crei alcun suono, diventando un vero fantasma.","Has alcanzado el nivel más alto de sigilo. Cuando te mueves sin zapatos, no creas ningún sonido, convirtiéndose en un verdadero fantasma.","Vous avez atteint le plus haut niveau de furtivité. Lorsque vous vous déplacez sans chaussures, vous ne créez aucun son, devenant un véritable fantôme.","你已经达到了隐身的最高水平。 在没有鞋子的情况下移动时，你根本不会产生任何声音，成为一个真正的幽灵。","あなたはステルスの最高レベルに達しています。 靴なしで動くとき、あなたはまったく音を出さず、本当の幽霊になります。","Você atingiu o nível mais alto de discrição. Quando você se move sem sapatos, você não cria nenhum som, tornando-se um verdadeiro fantasma.","你已经达到了隐身的最高水平。 在没有鞋子的情况下移动时，你根本不会产生任何声音，成为一个真正的幽灵。",
"STR_TERJEPERK_STLTH_NINJA","Ninja","Ninja","Ninja","Ninja","Нинзя","Ninja","Ninja","Ninja","Ninja","Ninja","忍者","忍者","Ninja","忍者",
"STR_TERJEPERK_STLTH_NINJA_DES","All the noise and sounds you make become 50% quieter at night.","All the noise and sounds you make become 50% quieter at night.","Veškerý hluk a zvuky, které vydáváte, jsou v temné denní době o 50% tišší.","Alle Geräusche, die Sie machen, werden im Dunkeln um 50% leiser.","Весь издаваемый вами шум и звуки становятся тише на 50% в темное время суток.","Cały hałas i dźwięki, które wydajesz, stają się o 50% cichsze w ciemności.","Az összes zaj és hang 50% - kal csendesebb lesz éjszaka.","Tutto il rumore e i suoni che fai diventano più silenziosi del 50% al buio.","Todo el ruido y los sonidos que haces se vuelven un 50% más silenciosos en la oscuridad.","Tout le bruit que vous faites et les sons deviennent plus silencieux de 50% dans l'obscurité.","你发出的所有噪音和声音在晚上变得安静了50％。","あなたが作るすべての騒音と音は夜に50％静かになります。","Todo o ruído e os sons que você faz São 50% mais silenciosos à noite.","你发出的所有噪音和声音在晚上变得安静了50％。",
"STR_TERJESKILL_STEALCH_NAME","STEALTH","STEALTH","UZAVŘENOST","HEIMLICHKEIT","СКРЫТНОСТЬ","SKRYTOŚĆ","Lopakodó","DISSIMULAZIONE","SIGILO","DISSIMULATION","秘密行动","ステルス","DISSIMULAÇÃO","秘密行动",
"STR_TERJESKILL_SURVIVAL_NAME","SURVIVAL","SURVIVAL","PŘEŽITÍ","ÜBERLEBEN","ВЫЖИВАНИЕ","PRZETRWANIE","TÚLÉLÉS","SOPRAVVIVENZA","SUPERVIVENCIA","SURVIE","生存","サバイバル","Sobrevivência","生存",
"STR_TERJESKILL_SURV_STARTFIRE","Starting a fire","Starting a fire","Zakládání ohně","Ein Feuer machen","Разведение огня","Rozpalanie ognia","Tűz gyújtása","Accendere un incendio","Iniciando un incendio","Allumer un feu","起火","火を起こす","Sobrevivência","起火",
"STR_TERJESKILL_SURV_STARTFIRE_DES","You have learned how to quickly and effectively light a fire that will save you in all weather conditions.","You have learned how to quickly and effectively light a fire that will save you in all weather conditions.","Naučili jste se rychle a efektivně rozdělávat oheň, který vás zachrání za všech povětrnostních podmínek.","Sie haben gelernt, schnell und effektiv ein Feuer zu entzünden, das Sie bei allen Wetterbedingungen retten wird.","Вы научились быстро и эффективно разжигать огонь, который спасет вас в любых погодных условиях.","Nauczyłeś się szybko i skutecznie rozpalać ogień, który uratuje cię w każdych warunkach pogodowych.","Megtanultad, hogyan lehet gyorsan és hatékonyan tüzet gyújtani, amely minden időjárási körülmények között megment.","Hai imparato ad accendere un fuoco in modo rapido ed efficace che ti salverà in tutte le condizioni atmosferiche.","Has aprendido a encender un fuego rápido y eficiente que te salvará en todas las condiciones climáticas.","Vous avez appris à allumer un feu rapidement et efficacement, ce qui vous sauvera dans toutes les conditions météorologiques.","你已经学会了如何快速有效地生火，在任何天气条件下都能救你。","あなたは迅速かつ効果的にすべての気象条件であなたを救う火を点灯する方法を学びました。","Você aprendeu a acender o fogo de forma rápida e eficaz, o que o salvará em todas as condições climáticas.","你已经学会了如何快速有效地生火，在任何天气条件下都能救你。",
"STR_TERJESKILL_SURV_COLDRESISTANCE","Cold resistance","Cold resistance","Odolnost proti chladu","Widerstand gegen Kälte","Сопротивление холоду","Odporność na zimno","Hideg ellenállás","Resistenza al freddo","Resistencia al frío","Résistance au froid","耐寒性","冷たい抵抗","Resistência ao frio","耐寒性",
"STR_TERJESKILL_SURV_COLDRESISTANCE_DES","It's like you were made for the cold. Your body tolerates low temperatures better, giving you an advantage in harsh conditions and increasing resistance to cold.","It's like you were made for the cold. Your body tolerates low temperatures better, giving you an advantage in harsh conditions and increasing resistance to cold.","Jste jako stvořený pro chlad. Vaše tělo lépe snáší nízké teploty, což vám dává výhodu v drsných podmínkách a zvyšuje odolnost proti chladu.","Sie scheinen für die Kälte geschaffen zu sein. Ihr Körper toleriert niedrige Temperaturen besser, gibt Ihnen einen Vorteil in rauen Umgebungen und erhöht den Widerstand gegen Kälte.","Вы словно созданы для холодов. Ваше тело лучше переносит низкие температуры, давая вам преимущество в суровых условиях и повышая сопротивление к холоду.","Jesteś stworzony na zimno. Twoje ciało lepiej znosi niskie temperatury, dając ci przewagę w trudnych warunkach i zwiększając odporność na zimno.","Mintha a hidegre lettél volna teremtve. A szervezet jobban tolerálja az alacsony hőmérsékletet, így előnyös a zord körülmények között és növeli a hideg ellenállását.","Sei come se fossi fatto per il freddo. Il tuo corpo tollera meglio le basse temperature, dandoti un vantaggio in condizioni difficili e aumentando la resistenza al freddo.","Estás hecho para el frío. Su cuerpo tolera mejor las bajas temperaturas, lo que le brinda una ventaja en entornos hostiles y aumenta la resistencia al frío.","On dirait que vous êtes fait pour le froid. Votre corps tolère mieux les basses températures, vous donnant un avantage dans les environnements difficiles et augmentant la résistance au froid.","就像你是为寒冷而生的。 您的身体更好地耐受低温，使您在恶劣条件下具有优势，并增加对寒冷的抵抗力。","あなたは寒さのために作られたようなものです。 あなたの体は低温をよりよく許容し、過酷な条件で優位性を与え、寒さに対する抵抗力を高めます。","É como se você fosse feito para o frio. Seu corpo tolera melhor as baixas temperaturas, dando-lhe uma vantagem em ambientes agressivos e aumentando a resistência ao frio.","就像你是为寒冷而生的。 您的身体更好地耐受低温，使您在恶劣条件下具有优势，并增加对寒冷的抵抗力。",
"STR_TERJESKILL_SURV_ROUGHFEET","Rough feet","Rough feet","Drsné nohy","Raue Füße","Грубые ноги","Napalone nogi","Durva méter","Piedi ruvidi","Áspero pies","Pieds rugueux","粗糙的脚","ラフ足","Pés ásperos","粗糙的脚",
"STR_TERJESKILL_SURV_ROUGHFEET_DES","Your feet are so used to harsh conditions that the risk of getting cuts or injuries without shoes is noticeably reduced. ","Your feet are so used to harsh conditions that the risk of getting cuts or injuries without shoes is noticeably reduced. ","Vaše nohy jsou tak zvyklé na drsné podmínky, že riziko pořezání nebo zranění bez bot je znatelně sníženo. ","Ihre Füße sind so an harte Bedingungen gewöhnt, dass das Risiko von Schnitten oder Verletzungen ohne Schuhe deutlich reduziert ist. ","Ваши ноги настолько привыкли к суровым условиям, что риск получить порезы или травмы без обуви заметно снижен. ","Twoje stopy są tak przyzwyczajone do trudnych warunków, że ryzyko skaleczeń lub obrażeń bez butów jest znacznie zmniejszone. ","A lábad annyira hozzászokott a zord körülményekhez, hogy észrevehetően csökken a cipő nélküli vágások vagy sérülések kockázata. ","I tuoi piedi sono così abituati a condizioni difficili che il rischio di tagli o lesioni senza scarpe è notevolmente ridotto. ","Sus pies están tan acostumbrados a las duras condiciones que el riesgo de sufrir cortes o lesiones sin zapatos se reduce notablemente. ","Vos pieds sont tellement habitués aux conditions difficiles que le risque de coupures ou de blessures sans chaussures est nettement réduit. ","你的脚已经习惯了恶劣的环境，没有鞋子就被割伤或受伤的风险显着降低。 ","あなたの足は過酷な条件に非常に慣れているので、靴なしで切り傷や怪我をするリスクは著しく減少します。 ","Seus pés estão tão acostumados a condições adversas que o risco de cortes ou lesões sem sapatos é visivelmente reduzido. ","你的脚已经习惯了恶劣的环境，没有鞋子就被割伤或受伤的风险显着降低。 ",
"STR_TERJESKILL_SURV_ROUGHHANDS","Rough hands","Rough hands","Hrubé ruce","Raue Hände","Грубые руки","Szorstkie ręce","Durva kezek","Mani ruvide","Manos ásperas","Mains rugueuses","粗糙的手","荒い手","Mãos ásperas","粗糙的手",
"STR_TERJESKILL_SURV_ROUGHHANDS_DES","Your hands feel like they're made of steel. Without gloves, you are less prone to cuts and damage, easily coping with any rough work.","Your hands feel like they're made of steel. Without gloves, you are less prone to cuts and damage, easily coping with any rough work.","Vaše ruce jsou jako z oceli. Bez rukavic jste méně náchylní k řezům a poškození, snadno zvládnete jakoukoli hrubou práci.","Ihre Hände sind wie aus Stahl. Ohne Handschuhe sind Sie weniger anfällig für Schnitte und Beschädigungen und können mit jeder harten Arbeit leicht umgehen.","Ваши руки словно сделаны из стали. Без перчаток вы меньше подвержены порезам и повреждениям, легко справляясь с любой грубой работой.","Twoje ręce są jakby wykonane ze stali. Bez rękawiczek jesteś mniej podatny na skaleczenia i uszkodzenia, z łatwością radzisz sobie z każdą trudną pracą.","A kezed mintha acélból lenne. Kesztyű nélkül kevésbé hajlamos a vágásokra és a sérülésekre, könnyen megbirkózik minden durva munkával.","Le tue mani sembrano fatte di acciaio. Senza guanti, sei meno incline a tagli e danni, gestendo facilmente qualsiasi lavoro duro.","Sus manos parecen hechas de acero. Sin guantes, es menos propenso a cortes y daños, manejando fácilmente cualquier trabajo duro.","Vos mains sont en acier. Sans gants, vous êtes moins sujet aux coupures et aux dommages, manipulant facilement tout travail difficile.","你的手感觉像是钢做的。 没有手套，你是不容易割伤和损坏，轻松应对任何粗糙的工作。","あなたの手は鋼でできているように感じます。 手袋がなければ、切り傷や損傷を受けにくく、荒い作業に簡単に対処できます。","As suas mãos parecem feitas de aço. Sem luvas, você é menos propenso a cortes e danos, lidando facilmente com qualquer trabalho duro.","你的手感觉像是钢做的。 没有手套，你是不容易割伤和损坏，轻松应对任何粗糙的工作。",
"STR_TERJESKILL_SURV_ANCESTRALTECHNOLOGIE","Ancestral technologies","Ancestral technologies","Technologie předků","Technologie der Vorfahren","Технологии предков","Technologia przodków","Ősi technológiák","Tecnologie ancestrali","Tecnología ancestral","Technologie ancestrale","祖传技术","先祖伝来の技術","Tecnologias ancestrais","祖传技术",
